;;;;;Data Destinasi Nasional;;;;;;
No;CODING ACUAN;DEST;SYS-CODE;"3
Code";PROVINSI;KABUPATEN / KOTA;NAMA KAB/KOTA;KECAMATAN;KELURAHAN;kode pos; ZONA 
1;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Mataram Timur;83121;A
2;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagesangan;83127;A
3;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagesangan Barat;83127;A
4;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagesangan Timur;83127;A
5;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagutan;83117;A
6;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagutan Barat;83127;A
7;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pagutan Timur;83127;A
8;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Pejanggik;83127;A
9;AMI10000;AMI10000;AMI10000;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Mataram;Punia;83127;A
10;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Ampenan Selatan;83114;A
11;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Ampenan Tengah;83112;A
12;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Ampenan Utara;83511;A
13;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Banjar;83118;A
14;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Bintaro;83118;A
15;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Doyan Peken;83118;A
16;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Kebunsari;83118;A
17;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Pajarakan Karya;83118;A
18;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Pejeruk;83113;A
19;AMI10000;AMI10011;AMI10011;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Ampenan;Tamansari;83118;A
20;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cakranegara Barat;83239;A
21;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cakranegara Selatan;83239;A
22;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cakranegara Selatan Baru;83239;A
23;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cakranegara Timur;83239;A
24;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cakranegara Utara;83239;A
25;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Cilinaya;83238;A
26;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Karang Taliwang;83238;A
27;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Mayura;83238;A
28;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Sapta Marga;83238;A
29;AMI10000;AMI10012;AMI10012;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Cakranegara;Sayang Sayang;83239;A
30;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Dasan Agung;83125;A
31;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Dasan Agung Baru;83125;A
32;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Gomong;83126;A
33;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Karang Baru;83123;A
34;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Mataram Barat;83126;A
35;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Monjok;83122;A
36;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Monjok Barat;83122;A
37;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Monjok Timur;83122;A
38;AMI10000;AMI10013;AMI10013;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Selaprang;Rembiga;83124;A
39;AMI10000;AMI10014;AMI10014;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sekarbela;Jempang Baru;83116;A
40;AMI10000;AMI10014;AMI10014;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sekarbela;Karang Pule;83116;A
41;AMI10000;AMI10014;AMI10014;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sekarbela;Kekalik Jaya;83116;A
42;AMI10000;AMI10014;AMI10014;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sekarbela;Tanjung Karang;83115;A
43;AMI10000;AMI10014;AMI10014;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sekarbela;Tanjung Karang Permai;83116;A
44;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Abian Tubuh Baru;83237;A
45;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Babakan;83233;A
46;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Bertais;83236;A
47;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Dasan Cermen;83232;A
48;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Mandalika;83237;A
49;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Selagalas;83237;A
50;AMI10000;AMI10015;AMI10015;AMI;Nusa Tenggara Barat (NTB);Kota;Mataram;Sandubaya;Turida;83237;A
51;AMI20100;AMI20100;AMI20100;AMI;Nusa Tenggara Barat (NTB);Kota;Bima;Mpunda;Santi;84119;B
52;AMI20100;AMI20111;AMI20111;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Asakota;Jatibaru;84119;B
53;AMI20100;AMI20111;AMI20111;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Asakota;Jatiwangi;84119;B
54;AMI20100;AMI20111;AMI20111;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Asakota;Kolo;84119;B
55;AMI20100;AMI20111;AMI20111;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Asakota;Melayu;84119;B
56;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Dara (Dora);84119;B
57;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Nae;84116;B
58;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Pane;84119;B
59;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Paruga;84111;B
60;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Sarae;84117;B
61;AMI20100;AMI20112;AMI20112;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Barat;Tanjung;84118;B
62;AMI20100;AMI20113;AMI20113;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Timur;Dodu;84119;B
63;AMI20100;AMI20113;AMI20113;AMI;Nusa Tenggara Barat (NTB);Kota;Bima ;Rasanae Timur;Kodo;84119;B
